Nome: NATAL
Codigo Estacao: A304
Latitude: -5.83722221
Longitude: -35.20805555
Altitude: 47.46
Situacao: Operante
Data Inicial: 2022-01-01
Data Final: 2025-12-31
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);TEMPERATURA MEDIA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);
2022-03-26;null;null;null;
2022-03-27;null;null;null;
2022-03-28;null;null;null;
2022-03-29;null;null;null;
2022-03-30;null;null;null;
2022-03-31;null;null;null;
2022-04-01;null;null;null;
2022-04-02;null;null;null;
2022-04-03;null;null;null;
2022-04-04;null;null;null;
2022-04-05;null;null;null;
2022-04-06;null;null;null;
2022-04-07;null;null;null;
2022-04-08;null;null;null;
2022-04-09;null;null;null;
2022-04-10;null;null;null;
2022-04-11;null;null;null;
2022-04-12;null;null;null;
2022-04-13;null;null;null;
2022-04-14;null;null;null;
2022-04-15;null;null;null;
2022-04-16;null;null;null;
2022-04-17;null;null;null;
2022-04-18;null;null;null;
2022-04-19;null;null;null;
2022-04-20;null;null;null;
2022-04-21;null;null;null;
2022-04-22;null;null;null;
2022-04-23;null;null;null;
2022-04-24;null;null;null;
2022-04-25;null;null;78.4;
2022-04-26;0;27.2;78.8;
2022-04-27;0;26.8;82;
2022-04-28;0;26.7;85.6;
2022-04-29;0;27.4;77.5;
2022-04-30;0;27;76;
2022-05-01;null;27.2;80.6;
2022-05-02;null;27.3;86.5;
2022-05-03;null;28.2;81.8;
2022-05-04;null;27.1;85;
2022-05-05;null;26.2;90.2;
2022-05-06;null;26.3;85.8;
2022-05-07;null;25.6;89.2;
2022-05-08;null;26.6;84;
2022-05-09;null;null;74.9;
2022-05-10;null;26.1;84;
2022-05-11;null;26.1;86.5;
2022-05-12;null;26.5;86;
2022-05-13;null;25.6;90.9;
2022-05-14;null;26.3;88.8;
2022-05-15;null;26.8;87.8;
2022-05-16;null;26.8;88.7;
2022-05-17;null;27.9;83.5;
2022-05-18;null;27.9;80.7;
2022-05-19;null;28;80.5;
2022-05-20;null;27.8;83.7;
2022-05-21;null;27.5;80.1;
2022-05-22;null;26;86.8;
2022-05-23;null;24.3;91.1;
2022-05-24;null;25.1;90.3;
2022-05-25;null;25.2;87.8;
2022-05-26;null;26.4;82.4;
2022-05-27;null;25.4;89.5;
2022-05-28;null;24.8;92;
2022-05-29;null;25.3;85.3;
2022-05-30;null;25.8;88.5;
2022-05-31;null;25.8;91.9;
2022-06-01;null;25.9;89.8;
2022-06-02;null;25.3;90.2;
2022-06-03;null;24.8;91.5;
2022-06-04;null;25;90.6;
2022-06-05;null;24.4;91.8;
2022-06-06;null;26;82.3;
2022-06-07;null;25.5;85;
2022-06-08;null;26;84.5;
2022-06-09;24.6;25;90.7;
2022-06-10;2.6;25.4;88.6;
2022-06-11;8;26.3;87.5;
2022-06-12;.2;26.1;85.1;
2022-06-13;0;26.3;81.8;
2022-06-14;0;26.2;74.8;
2022-06-15;0;26;76.1;
2022-06-16;0;25.6;79.8;
2022-06-17;0;25.3;80.5;
2022-06-18;0;25.9;80.2;
2022-06-19;0;26.4;81.4;
2022-06-20;6.2;24.8;88.8;
2022-06-21;12.6;26;80.1;
2022-06-22;36;23.1;93.4;
2022-06-23;6.8;24.8;87;
2022-06-24;5.8;25;88.3;
2022-06-25;4.4;25.2;79.6;
2022-06-26;0;25.9;79;
2022-06-27;0;25.4;79.6;
2022-06-28;1.4;24.7;84;
2022-06-29;39;23.3;91;
2022-06-30;4.2;25.1;83.4;
2022-07-01;0;25.7;84.4;
2022-07-02;46;25.5;90.2;
2022-07-03;106.4;23;95.2;
2022-07-04;92.8;24.8;90.4;
2022-07-05;44;25.4;79.2;
2022-07-06;0;25.1;85.1;
2022-07-07;35.8;24.7;92.6;
2022-07-08;27.4;23.3;95.3;
2022-07-09;41.6;24.8;85.6;
2022-07-10;2.6;25.6;82;
2022-07-11;.2;24.7;83.2;
2022-07-12;0;25.6;82.3;
2022-07-13;1.6;25.2;85.2;
2022-07-14;1;24.7;83.7;
2022-07-15;.6;24.7;81.5;
2022-07-16;.8;24.5;87.7;
2022-07-17;62.2;24.6;90.7;
2022-07-18;2;24.2;85.4;
2022-07-19;15.6;24.6;85.3;
2022-07-20;.2;24.7;80.7;
2022-07-21;12;24.2;90.5;
2022-07-22;12.4;24.6;85.1;
2022-07-23;0;25.3;80.5;
2022-07-24;3;24.5;86.2;
2022-07-25;2;24.7;73;
2022-07-26;0;24.6;78;
2022-07-27;0;24.9;81;
2022-07-28;0;25.1;79.6;
2022-07-29;0;24.8;88.3;
2022-07-30;4.6;25;90;
2022-07-31;.4;24.6;90;
2022-08-01;9.4;25.7;80.4;
2022-08-02;.2;24.7;83.8;
2022-08-03;16;25;89.9;
2022-08-04;37.8;25.3;87.8;
2022-08-05;4.8;25.1;83.8;
2022-08-06;0;24.7;84.7;
2022-08-07;18.8;25.4;82.3;
2022-08-08;0;25.2;79;
2022-08-09;9.4;25.2;83.2;
2022-08-10;0;25.4;78.3;
2022-08-11;0;25.4;82.5;
2022-08-12;0;26.5;80.9;
2022-08-13;0;26.6;72;
2022-08-14;3.4;24.8;76.5;
2022-08-15;0;24.8;72.5;
2022-08-16;0;25;72.9;
2022-08-17;0;24.1;82.9;
2022-08-18;4;24.7;79.8;
2022-08-19;0;24.8;74.8;
2022-08-20;0;24.7;75.3;
2022-08-21;0;25.1;74.2;
2022-08-22;0;24.5;83.8;
2022-08-23;16.8;22.7;95.7;
2022-08-24;45.6;24.6;84.3;
2022-08-25;0;24.7;75.3;
2022-08-26;0;24.8;76;
2022-08-27;1.4;24.1;85;
2022-08-28;4.4;24.9;83.6;
2022-08-29;0;25.4;79.9;
2022-08-30;0;25.2;76.9;
2022-08-31;0;25;73;
2022-09-01;0;24.9;77.5;
2022-09-02;0;24.9;82.5;
2022-09-03;1.8;25.1;81.8;
2022-09-04;2.2;24.1;90.5;
2022-09-05;6.6;24.2;86;
2022-09-06;22;24.7;85.2;
2022-09-07;1;24.7;79;
2022-09-08;0;24.6;77.6;
2022-09-09;0;25.5;74.6;
2022-09-10;0;25.3;78;
2022-09-11;0;25.6;77.9;
2022-09-12;0;26.2;74.8;
2022-09-13;0;25.6;80.5;
2022-09-14;1.6;25.7;83.4;
2022-09-15;.2;26.5;75.4;
2022-09-16;0;26.4;74.8;
2022-09-17;0;25.8;79;
2022-09-18;.2;26;81.7;
2022-09-19;.8;26.3;73.6;
2022-09-20;0;26.1;75.3;
2022-09-21;0;26.6;77.1;
2022-09-22;0;26.8;76;
2022-09-23;0;26.7;79;
2022-09-24;0;26.8;74.8;
2022-09-25;0;26.7;74.5;
2022-09-26;6;26.1;77.1;
2022-09-27;0;26.1;74.1;
2022-09-28;0;26;72.6;
2022-09-29;0;26.7;73;
2022-09-30;0;26.6;75.8;
2022-10-01;0;26.3;76.4;
2022-10-02;0;26.2;74.3;
2022-10-03;0;26.2;73.9;
2022-10-04;0;26.6;72.7;
2022-10-05;0;26.5;78.5;
2022-10-06;0;27;79.2;
2022-10-07;5.2;27;80.9;
2022-10-08;0;26.7;78;
2022-10-09;.2;26.4;83.8;
2022-10-10;6;26.3;85.5;
2022-10-11;6.4;26.5;75.7;
2022-10-12;0;26.1;77.3;
2022-10-13;.2;26.5;77.7;
2022-10-14;0;27;73.3;
2022-10-15;0;26.6;75.8;
2022-10-16;0;26.4;78;
2022-10-17;0;27.2;74.5;
2022-10-18;0;26.3;79.9;
2022-10-19;5.6;26.9;74.3;
2022-10-20;0;26.8;73.5;
2022-10-21;0;26.9;72.2;
2022-10-22;0;27.2;73.9;
2022-10-23;.8;27.1;76.8;
2022-10-24;0;27;79.7;
2022-10-25;3;27;76;
2022-10-26;0;26.9;74.7;
2022-10-27;0;27.2;76.8;
2022-10-28;0;27.3;74.9;
2022-10-29;.8;27;78.1;
2022-10-30;1.2;27.2;74;
2022-10-31;0;27;74;
2022-11-01;0;27.2;74.5;
2022-11-02;0;27.2;74.5;
2022-11-03;0;27.2;75.3;
2022-11-04;0;27.4;77.3;
2022-11-05;0;27.2;78.4;
2022-11-06;0;27.5;75.7;
2022-11-07;0;27.4;72.8;
2022-11-08;0;27;76.1;
2022-11-09;2;27.4;74.8;
2022-11-10;.4;27.4;72;
2022-11-11;0;27.7;71.8;
2022-11-12;1.6;26.8;81.8;
2022-11-13;11.2;26.3;84.7;
2022-11-14;.2;27.2;77.2;
2022-11-15;0;27.4;73.8;
2022-11-16;0;27.5;71.5;
2022-11-17;0;27.4;72.3;
2022-11-18;.6;27;75;
2022-11-19;0;27.5;75.8;
2022-11-20;null;null;null;
2022-11-21;null;null;null;
2022-11-22;null;null;null;
2022-11-23;null;null;null;
2022-11-24;null;null;null;
2022-11-25;null;null;null;
2022-11-26;null;null;null;
2022-11-27;null;null;null;
2022-11-28;null;null;null;
2022-11-29;null;null;null;
2022-11-30;null;null;null;
2022-12-01;null;null;null;
2022-12-02;null;null;null;
2022-12-03;null;null;null;
2022-12-04;null;null;null;
2022-12-05;null;null;null;
2022-12-06;null;null;null;
2022-12-07;null;null;null;
2022-12-08;null;null;null;
2022-12-09;null;null;null;
2022-12-10;null;null;null;
2022-12-11;null;null;null;
2022-12-12;null;null;null;
2022-12-13;null;null;null;
2022-12-14;null;null;null;
2022-12-15;null;null;null;
2022-12-16;null;null;null;
2022-12-17;null;null;null;
2022-12-18;null;null;null;
2022-12-19;null;null;null;
2022-12-20;null;null;null;
2022-12-21;null;null;null;
2022-12-22;null;null;null;
2022-12-23;null;null;null;
2022-12-24;null;null;null;
2022-12-25;null;null;null;
2022-12-26;null;null;null;
2022-12-27;null;null;null;
2022-12-28;null;null;null;
2022-12-29;null;null;null;
2022-12-30;null;null;null;
2022-12-31;null;null;null;
2023-01-01;null;null;null;
2023-01-02;null;null;null;
2023-01-03;null;null;null;
2023-01-04;null;null;null;
2023-01-05;null;null;null;
2023-01-06;null;null;null;
2023-01-07;null;null;null;
2023-01-08;null;null;null;
2023-01-09;null;null;null;
2023-01-10;null;null;null;
2023-01-11;null;null;null;
2023-01-12;null;null;null;
2023-01-13;null;null;null;
2023-01-14;null;null;null;
2023-01-15;null;null;null;
2023-01-16;null;null;null;
2023-01-17;null;null;null;
2023-01-18;null;25.8;86.1;
2023-01-19;26.4;null;84.8;
2023-01-20;null;null;73.3;
2023-01-21;.2;27.8;76.9;
2023-01-22;0;28;78.2;
2023-01-23;.2;28.1;78.4;
2023-01-24;0;27.9;73.1;
2023-01-25;5.4;27.2;74.3;
2023-01-26;0;27.8;74.3;
2023-01-27;1.2;27.6;79.2;
2023-01-28;0;28.3;70.7;
2023-01-29;0;27.8;71.8;
2023-01-30;0;28.3;73.9;
2023-01-31;0;28.2;73.5;
2023-02-01;0;28.2;73.5;
2023-02-02;0;28.4;74.2;
2023-02-03;0;28.3;73;
2023-02-04;0;28.4;73.6;
2023-02-05;.2;28.2;76.8;
2023-02-06;3.6;27;81.8;
2023-02-07;1.2;27.8;69.1;
2023-02-08;.2;27.3;73;
2023-02-09;0;27.9;79;
2023-02-10;3;28.1;76.8;
2023-02-11;5;27.6;75;
2023-02-12;0;27.8;76.8;
2023-02-13;.4;28.5;77.3;
2023-02-14;0;28.5;76.4;
2023-02-15;0;28.6;77.4;
2023-02-16;0;28.3;76.6;
2023-02-17;0;28.1;75.1;
2023-02-18;0;28.3;72.6;
2023-02-19;0;28.3;73.7;
2023-02-20;0;28;76.9;
2023-02-21;3.8;28.1;74.8;
2023-02-22;30.2;26.9;87.1;
2023-02-23;1.2;27.9;82.8;
2023-02-24;10.8;27.1;85.5;
2023-02-25;4.2;26.9;84;
2023-02-26;.2;28.4;75.5;
2023-02-27;0;28.6;73.2;
2023-02-28;0;28.4;74.2;
2023-03-01;.2;28.2;74.3;
2023-03-02;11.6;26.4;86.5;
2023-03-03;54.2;26.4;86.4;
2023-03-04;0;28.3;76.6;
2023-03-05;0;28.2;77.1;
2023-03-06;0;28.3;76.3;
2023-03-07;0;28.5;73.9;
2023-03-08;9.2;26.7;81.8;
2023-03-09;17.2;26.8;83.1;
2023-03-10;.2;27.5;78.1;
2023-03-11;0;28.1;75.8;
2023-03-12;0;28;77.5;
2023-03-13;0;28.4;76.4;
2023-03-14;0;28.1;78.1;
2023-03-15;4.4;27.2;83.5;
2023-03-16;12.6;25.3;91.7;
2023-03-17;10.4;26.1;87.8;
2023-03-18;31.8;25.6;88.8;
2023-03-19;52.6;24.6;91;
2023-03-20;5.8;27;81;
2023-03-21;.4;27.3;81.8;
2023-03-22;0;26.1;85.5;
2023-03-23;.4;26.8;80.7;
2023-03-24;.2;27.1;80.9;
2023-03-25;.2;27.1;84.5;
2023-03-26;.2;26.7;88.1;
2023-03-27;.4;26.4;85.5;
2023-03-28;.2;27.5;78.3;
2023-03-29;78.8;27.2;82.8;
2023-03-30;2;26.3;86.8;
2023-03-31;2.8;27.1;78.5;
2023-04-01;0;27.3;78.3;
2023-04-02;0;27.5;79.2;
2023-04-03;0;27.6;78.5;
2023-04-04;0;27.7;78.1;
2023-04-05;20.6;25.9;87.8;
2023-04-06;2.6;27.2;82.3;
2023-04-07;48.6;26.2;87;
2023-04-08;1.6;26.9;88.8;
2023-04-09;51;27.1;84.4;
2023-04-10;6.8;27.8;81.6;
2023-04-11;.6;27.6;78.8;
2023-04-12;0;27.5;79.9;
2023-04-13;.4;28;77.7;
2023-04-14;5.4;26.8;85.2;
2023-04-15;4.2;27.2;82.9;
2023-04-16;2.6;26.5;88.3;
2023-04-17;.4;26.8;84.3;
2023-04-18;0;28;82.8;
2023-04-19;0;28.1;82.3;
2023-04-20;0;28.2;79.1;
2023-04-21;0;28.1;75.3;
2023-04-22;0;28;72.3;
2023-04-23;0;28.5;72;
2023-04-24;0;27.7;78.8;
2023-04-25;.2;26.7;85.7;
2023-04-26;4.6;27.2;83.5;
2023-04-27;14.8;27.2;85;
2023-04-28;.4;27.8;83.2;
2023-04-29;3.2;27.4;84.3;
2023-04-30;3.8;27.8;82.3;
2023-05-01;1.8;27.7;78.7;
2023-05-02;0;27.4;80.3;
2023-05-03;.2;27.9;78.1;
2023-05-04;0;28.4;78.4;
2023-05-05;.2;27.7;80.2;
2023-05-06;2.6;27.6;79.3;
2023-05-07;0;27.6;76.8;
2023-05-08;0;27.6;78.9;
2023-05-09;0;27.5;79;
2023-05-10;0;27.8;78.3;
2023-05-11;0;28.2;74;
2023-05-12;0;27.6;77.3;
2023-05-13;0;27.7;82.3;
2023-05-14;.2;28.6;76.9;
2023-05-15;0;28.5;76.6;
2023-05-16;0;27.5;78.8;
2023-05-17;6.6;27;84;
2023-05-18;0;26.4;85;
2023-05-19;.6;27.1;81.8;
2023-05-20;1.2;27.2;83;
2023-05-21;0;27.2;78.8;
2023-05-22;0;27.3;82;
2023-05-23;9;27.5;81.8;
2023-05-24;.4;28.2;74.7;
2023-05-25;0;26.9;82;
2023-05-26;8;27.7;78.9;
2023-05-27;0;26.8;84.3;
2023-05-28;3.2;26.9;83;
2023-05-29;19.8;25.8;90.4;
2023-05-30;10.6;26.4;84.5;
2023-05-31;.2;26.9;80.8;
2023-06-01;0;26.4;84.4;
2023-06-02;1.6;27.1;81.5;
2023-06-03;0;27.3;76.3;
2023-06-04;0;26.9;78.4;
2023-06-05;0;26.8;78.9;
2023-06-06;0;26.5;81.9;
2023-06-07;4.4;26.6;84.9;
2023-06-08;1.4;26.8;82.6;
2023-06-09;27.8;24.6;92.4;
2023-06-10;8;26.2;83.5;
2023-06-11;0;24.8;89.4;
2023-06-12;4.2;25.4;88.8;
2023-06-13;.6;26.3;81.4;
2023-06-14;0;25.4;87.1;
2023-06-15;38.6;25.1;91.8;
2023-06-16;7.2;25.2;89.1;
2023-06-17;10.4;25.1;85.9;
2023-06-18;.2;25.7;87.8;
2023-06-19;2;26.4;82.3;
2023-06-20;0;26.6;81.3;
2023-06-21;0;26;77.8;
2023-06-22;1.2;null;85;
2023-06-23;null;null;null;
2023-06-24;null;null;null;
2023-06-25;null;null;null;
2023-06-26;null;null;null;
2023-06-27;null;null;null;
2023-06-28;null;null;null;
2023-06-29;null;null;null;
2023-06-30;null;null;null;
2023-07-01;null;null;null;
2023-07-02;null;null;null;
2023-07-03;null;null;null;
2023-07-04;null;null;null;
2023-07-05;null;null;null;
2023-07-06;null;null;null;
2023-07-07;null;null;null;
2023-07-08;null;25.5;88.6;
2023-07-09;2.8;26.5;83.8;
2023-07-10;1.4;26.5;78.5;
2023-07-11;0;25.7;81.5;
2023-07-12;0;26;80.6;
2023-07-13;.6;26;83.3;
2023-07-14;0;26.5;79.4;
2023-07-15;0;27.2;80;
2023-07-16;0;26.7;77.5;
2023-07-17;1.4;25.1;83.1;
2023-07-18;6.8;24.1;92.6;
2023-07-19;47.4;26.2;81.4;
2023-07-20;.6;25.4;75.8;
2023-07-21;0;25.5;77;
2023-07-22;0;25.4;78.5;
2023-07-23;3.2;25.2;80.1;
2023-07-24;1.8;24.8;82.9;
2023-07-25;0;25.1;78.4;
2023-07-26;0;25.5;80.5;
2023-07-27;21;25.5;88.5;
2023-07-28;.4;26.5;78.9;
2023-07-29;0;25.6;78;
2023-07-30;5;25.6;86.6;
2023-07-31;0;25.7;79;
2023-08-01;0;25.4;81.8;
2023-08-02;0;26;82.5;
2023-08-03;4.8;25.1;84.3;
2023-08-04;1.6;25;77.7;
2023-08-05;0;25.6;79.3;
2023-08-06;.6;25.8;83;
2023-08-07;10.8;25;87.1;
2023-08-08;13.2;25.3;86.8;
2023-08-09;4.8;24.2;91.9;
2023-08-10;11.8;24.3;86.8;
2023-08-11;1.8;25.2;80.3;
2023-08-12;1.8;25.2;79.6;
2023-08-13;.6;24.8;81.8;
2023-08-14;0;24.5;83.6;
2023-08-15;2;25;78.6;
2023-08-16;.6;25;78.1;
2023-08-17;.2;25.2;81.6;
2023-08-18;0;24.9;85;
2023-08-19;50.4;24.4;90.5;
2023-08-20;25;24.8;93;
2023-08-21;3.6;26.7;80;
2023-08-22;.8;26.6;79.5;
2023-08-23;0;26.7;79.7;
2023-08-24;0;26.2;81.4;
2023-08-25;0;26.1;78.5;
2023-08-26;0;25.8;83.8;
2023-08-27;0;26.6;85.3;
2023-08-28;0;26.7;82.3;
2023-08-29;.6;26.6;83.1;
2023-08-30;0;27;76;
2023-08-31;0;26;81;
2023-09-01;6.2;26.7;73.3;
2023-09-02;0;26.6;78.9;
2023-09-03;0;25.5;82.7;
2023-09-04;.6;26.5;75.5;
2023-09-05;2.8;26.6;77.4;
2023-09-06;.4;26.5;74.2;
2023-09-07;.8;25.6;82.3;
2023-09-08;10.2;25.6;83;
2023-09-09;1.6;24.8;82.8;
2023-09-10;1.6;25.9;79.7;
2023-09-11;5.2;25.9;78.4;
2023-09-12;2;25.7;83.7;
2023-09-13;5.4;25.8;84.6;
2023-09-14;5;24.1;92.8;
2023-09-15;3.2;25.6;81.8;
2023-09-16;0;26.4;76.6;
2023-09-17;0;26;80;
2023-09-18;1;25.6;84;
2023-09-19;1.8;25.5;87.6;
2023-09-20;5.4;26.3;81.9;
2023-09-21;.2;25.8;80;
2023-09-22;9;25.7;83.1;
2023-09-23;3;26.3;81.8;
2023-09-24;0;26.8;81.3;
2023-09-25;0;26.8;78;
2023-09-26;0;27;75.4;
2023-09-27;0;null;71.9;
2023-09-28;null;null;71.5;
2023-09-29;0;26.8;74.9;
2023-09-30;null;null;69.3;
2023-10-01;0;26.8;72.2;
2023-10-02;0;26.5;76;
2023-10-03;0;26.8;76.2;
2023-10-04;0;26.9;72.2;
2023-10-05;.2;26.9;75.5;
2023-10-06;null;null;75.1;
2023-10-07;0;null;75;
2023-10-08;null;null;null;
2023-10-09;null;null;68.4;
2023-10-10;0;27.1;73.8;
2023-10-11;0;27.2;72.8;
2023-10-12;null;null;75.5;
2023-10-13;null;null;77.3;
2023-10-14;null;null;72;
2023-10-15;null;null;68.5;
2023-10-16;null;null;null;
2023-10-17;null;null;null;
2023-10-18;null;null;null;
2023-10-19;null;null;null;
2023-10-20;null;null;null;
2023-10-21;null;null;null;
2023-10-22;null;null;null;
2023-10-23;null;null;null;
2023-10-24;null;null;null;
2023-10-25;null;null;null;
2023-10-26;null;null;null;
2023-10-27;null;null;null;
2023-10-28;null;null;null;
2023-10-29;null;null;null;
2023-10-30;null;null;null;
2023-10-31;null;null;null;
2023-11-01;null;null;null;
2023-11-02;null;null;null;
2023-11-03;null;null;null;
2023-11-04;null;null;null;
2023-11-05;null;null;null;
2023-11-06;null;null;null;
2023-11-07;null;null;null;
2023-11-08;null;null;null;
2023-11-09;null;null;null;
2023-11-10;null;null;null;
2023-11-11;null;null;null;
2023-11-12;null;null;null;
2023-11-13;null;null;null;
2023-11-14;null;null;null;
2023-11-15;null;null;null;
2023-11-16;null;null;null;
2023-11-17;null;null;null;
2023-11-18;null;null;null;
2023-11-19;null;null;null;
2023-11-20;null;null;null;
2023-11-21;null;null;null;
2023-11-22;null;null;null;
2023-11-23;null;null;null;
2023-11-24;null;null;null;
2023-11-25;null;null;null;
2023-11-26;null;null;null;
2023-11-27;null;null;null;
2023-11-28;null;null;null;
2023-11-29;null;null;null;
2023-11-30;null;null;null;
2023-12-01;null;null;null;
2023-12-02;null;null;null;
2023-12-03;null;null;null;
2023-12-04;null;null;null;
2023-12-05;null;null;null;
2023-12-06;null;null;null;
2023-12-07;null;null;null;
2023-12-08;null;null;null;
2023-12-09;null;null;null;
2023-12-10;null;null;null;
2023-12-11;null;null;null;
2023-12-12;null;null;null;
2023-12-13;null;null;null;
2023-12-14;null;null;null;
2023-12-15;null;null;null;
2023-12-16;null;null;null;
2023-12-17;null;null;null;
2023-12-18;null;null;null;
2023-12-19;null;null;null;
2023-12-20;null;null;null;
2023-12-21;null;null;null;
2023-12-22;null;null;null;
2023-12-23;null;null;null;
2023-12-24;null;null;null;
2023-12-25;null;null;null;
2023-12-26;null;null;null;
2023-12-27;null;null;null;
2023-12-28;null;null;null;
2023-12-29;null;null;null;
2023-12-30;null;null;null;
2023-12-31;null;null;null;
2024-01-01;null;null;null;
2024-01-02;null;null;null;
2024-01-03;null;null;null;
2024-01-04;null;null;null;
2024-01-05;null;null;null;
2024-01-06;null;null;null;
2024-01-07;null;null;null;
2024-01-08;null;null;null;
2024-01-09;null;null;null;
2024-01-10;null;null;null;
2024-01-11;null;null;null;
2024-01-12;null;null;null;
2024-01-13;null;null;null;
2024-01-14;null;null;null;
2024-01-15;null;null;null;
2024-01-16;null;null;null;
2024-01-17;null;null;null;
2024-01-18;null;null;null;
2024-01-19;null;null;null;
2024-01-20;null;null;null;
2024-01-21;null;null;null;
2024-01-22;null;null;null;
2024-01-23;null;null;null;
2024-01-24;null;null;null;
2024-01-25;null;null;null;
2024-01-26;null;null;null;
2024-01-27;null;null;null;
2024-01-28;null;null;null;
2024-01-29;null;null;null;
2024-01-30;null;null;null;
2024-01-31;null;null;null;
2024-02-01;null;null;null;
2024-02-02;null;null;null;
2024-02-03;null;null;null;
2024-02-04;null;null;null;
2024-02-05;null;null;null;
2024-02-06;null;null;null;
2024-02-07;null;null;null;
2024-02-08;null;null;null;
2024-02-09;null;null;null;
2024-02-10;null;null;null;
2024-02-11;null;null;null;
2024-02-12;null;null;null;
2024-02-13;null;null;null;
2024-02-14;null;null;null;
2024-02-15;null;null;null;
2024-02-16;null;null;null;
2024-02-17;null;null;null;
2024-02-18;null;null;null;
2024-02-19;null;null;null;
2024-02-20;null;null;null;
2024-02-21;null;null;null;
2024-02-22;null;null;null;
2024-02-23;null;null;null;
2024-02-24;null;null;null;
2024-02-25;null;null;null;
2024-02-26;null;null;null;
2024-02-27;null;null;null;
2024-02-28;null;null;null;
2024-02-29;null;null;null;
2024-03-01;null;null;null;
2024-03-02;null;null;null;
2024-03-03;null;null;null;
2024-03-04;null;null;null;
2024-03-05;null;null;null;
2024-03-06;null;null;null;
2024-03-07;null;null;null;
2024-03-08;null;null;null;
2024-03-09;null;null;null;
2024-03-10;null;null;null;
2024-03-11;null;null;null;
2024-03-12;null;null;null;
2024-03-13;null;null;null;
2024-03-14;null;null;null;
2024-03-15;null;null;null;
2024-03-16;null;null;null;
2024-03-17;null;null;null;
2024-03-18;null;null;null;
2024-03-19;null;null;null;
2024-03-20;null;null;null;
2024-03-21;null;null;null;
2024-03-22;null;null;null;
2024-03-23;null;null;null;
2024-03-24;null;null;null;
2024-03-25;null;null;null;
2024-03-26;null;null;null;
2024-03-27;null;null;null;
2024-03-28;null;null;null;
2024-03-29;null;null;null;
2024-03-30;null;null;null;
2024-03-31;null;null;null;
2024-04-01;null;null;null;
2024-04-02;null;null;null;
2024-04-03;null;null;null;
2024-04-04;null;null;null;
2024-04-05;null;null;null;
2024-04-06;null;null;null;
2024-04-07;null;null;null;
2024-04-08;null;null;null;
2024-04-09;null;null;null;
2024-04-10;null;null;null;
2024-04-11;null;null;null;
2024-04-12;null;null;null;
2024-04-13;null;null;null;
2024-04-14;null;null;null;
2024-04-15;null;null;null;
